NAME,BANNED,SCOPE,ORG,YEAR,GROUPS_NO,GROUPS_MEMS,HIGHER_MEMS,VIO_MEMS,VIO_MEM_DIFF,HIGHER_VIO_MEMS,VIO_FR_CRIME,FR_HOMOCIDES,FR_PROP_CRIME,LOCATION,REGION,LAT,LON,SIZE,ELECT_CAMPAIGN,CRIME_ASS,CRIME_ACTS,VIO_CRIME_ASS,129StGB,INTERNATIONAL_LINKS,BAN_LINK,APABIZ_SOURCES,NOTES,CLASS,VFS1990,VFS1991,VFS1992,VFS1993,VFS1994,VFS1995,VFS1996,VFS1997,VFS1998,VFS1999,VFS2000,VFS2001,VFS2002,VFS2003,VFS2004,VFS2005,VFS2006,VFS2007,VFS2008,VFS2009,VFS2010,VFS2011,VFS2012,VFS2013,VFS2014,VFS2015,VFS2016,VFS2017,VFS2018,VFS2019,VFS2020,VFS2021,VFS2022,FIRST,LAST,BAN_DATE,SHORT_NAME,BAN,VIO_LEVEL,VIO_LEVEL_1stYEAR,VIO_LEVEL_lastYEAR,RMEM_DIFF,HOM,PROP,LINK,NNOV,PARTY,YMON,BAN_LINKS,B_LINKS_AUTO,SPD_BMI,SPD_VFS,PROP_trendline,PROP_trend_diff
Europäischer Darstellungsverein für Lebendige Geschichte (EDLG),0,international,association,2004,168,40700,0,10000,0,,776,0,8337,Bad Oeynhausen,Nordrhein-Westfalen,52.2014399,8.7981244,80 (2004),,,,,,1,None,https://www.spiegel.de/sptv/a-332608.html,founded in 1995; engaged in historical reenactment; Peter Schulz was a member,Internationale Verbindungen,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,2004-01-01,2005-01-01,,EDLG,0,776,776,776,0,0,8337,0,0,0,1,None,0,1,1,8608.515,-271.5154
Freikorps Havelland,0,regional,association,2004,168,40700,0,10000,0,,776,0,8337,Havelland,Brandenburg,52.6244437,12.6847264,,,"YES (VfS2004, p33), (VfS2005, p51)",Arson against Turkish and Asian businesses,YES,YES (2005),,None,https://de.wikipedia.org/wiki/Freikorps_Havelland,,"Gewaltbereite, Skinheads",,,,,,,,,,,,,,,YES,YES,,,,,,,,,,,,,,,,,,2004-01-01,2006-01-01,2004-05-31,Freikorps Havelland,1,776,776,958,0,0,8337,0,1,0,2,None,0,1,1,8608.515,-271.5154
Nationaler Widerstand Berlin-Brandenburg,0,regional,association,2004,168,40700,0,10000,0,,776,0,8337,Berlin,Berlin,52.5170365,13.3888599,,,"YES (VfS2012, p73)",,,,,Members,https://de.wikipedia.org/wiki/Nationales_und_Soziales_Aktionsb%C3%BCndnis_Mitteldeutschland,,neo-Nazi,,,,,,,,,,,,,,,YES,,,,,,,,YES,,,,,,,,,,,2004-01-01,2013-01-01,,Nationaler Widerstand Berlin-Brandenburg,0,776,776,802,0,0,8337,0.25,1,0,2,Members,0.25,1,1,8608.515,-271.5154
Fränkische Aktionsfront (FAF),1,regional,association,2004,168,40700,0,10000,0,,776,0,8337,Nürnberg,Bayern,49.453872,11.077298,,,,,,,,None,https://www.belltower.news/lexikon/fraenkische-aktionsfront/,,neo-Nazi,,,,,,,,,,,,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,2001-01-01,2005-01-01,2004-01-22,Fränkische Aktionsfront,1,776,709,776,0,0,8337,0,1,0,4,None,0,1,1,8608.515,-271.5154
Aktionsbüro Rhein-Neckar,0,regional,association,2005,183,39000,0,10400,400,0,958,0,10881,Ludwigshafen,Rheinland-Pfalz,49.4704113,8.4381568,,,,,,,,None,https://www.apabiz.de/wp-content/uploads/FKRN-Einschaetzung.pdf,,,,,,,,,,,,,,,,,,YES,,,,,,,,YES,,,,,,,,,,2005-01-01,2014-01-01,,Aktionsbüro Rhein-Neckar,0,958,958,801,400,0,10881,0,1,0,2,None,0,1,1,8978.568,1902.43237
Bildungswerk für Heimat und nationale Identität e.V.,0,regional,association,2005,183,39000,0,10400,400,0,958,0,10881,Dresden,Sachsen,51.0493286,13.7381437,,,,,,,,None,,"led by Peter Dehoust, connected to NPD",Rechtsextremistische Intellektualisierung,,,,,,,,,,,,,,,,YES,YES,YES,,YES,,,YES,,,,,YES,,,,,,2005-01-01,2018-01-01,,BfHI,0,958,958,1054,400,0,10881,0,0,0,6,None,0,1,1,8978.568,1902.43237
Alternative Nationale Strausberger Dart Piercing und Tattoo Offensive (ANSDAPO),1,regional,association,2005,183,39000,0,10400,400,0,958,0,10881,Strausberg,Brandenburg,52.5814009,13.8833952,,,,,,,,None,,,neo-Nazi,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,2005-01-01,2006-01-01,2005-07-14,ANSDAPO,1,958,958,958,400,0,10881,0,1,0,1,None,0,1,1,8978.568,1902.43237
Berliner Alternative Süd-Ost (BASO),1,regional,association,2005,183,39000,0,10400,400,0,958,0,10881,Treptow,Berlin,52.4884438,13.4703145,,,,,,,,None,https://www.apabiz.de/archiv/material/Profile/BASO.htm,,neo-Nazi,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,2005-01-01,2006-01-01,2005-03-09,Berliner Alternative Süd-Ost,1,958,958,958,400,0,10881,0,1,0,1,None,0,1,1,8978.568,1902.43237
Kameradschaft Hauptvolk and its youth organisation Sturm 27,1,regional,association,2005,183,39000,0,10400,400,0,958,0,10881,Rathenow,Brandenburg,52.6063703,12.3382259,,,,,,,,None,https://www.apabiz.de/archiv/material/Profile/Kameradschaft%20Hauptvolk.htm,,neo-Nazi,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,2005-01-01,2006-01-01,2005-04-06,Kameradschaft Hauptvolk,1,958,958,958,400,0,10881,0,1,0,1,None,0,1,1,8978.568,1902.43237
Kameradschaft Tor Berlin (KTB) together with Maedelsgruppe Kameradschaft Tor Berlin,1,regional,association,2005,183,39000,0,10400,400,0,958,0,10881,Berlin,Berlin,52.5170365,13.3888599,,,,,,,,None,https://antifa-berlin.info/recherche/1782-nazis-unter-waffen-heute-daniel-meinel-kameradschaft-tor-berlin,,neo-Nazi,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,2005-01-01,2006-01-01,2005-03-09,Kameradschaft Tor Berlin,1,958,958,958,400,0,10881,0,1,0,1,None,0,1,1,8978.568,1902.43237
Bewegung Neue Ordnung (BNO),0,national,association,2006,182,38600,0,10400,0,0,1047,0,12627,Vetschau,Brandenburg,51.78259659,14.07153988,100 (2006),,"YES:  (VfS2013, p77-78)",,,YES (2014),,Both,https://www.apabiz.de/archiv/material/Profile/BNO.htm,founded at start of 2004; Schutzbund Deutschland was a wing of BNO; led by Meinolf Schönborn,neo-Nazi; Rechtsterrorismus,,,,,,,,,,,,,,,,,YES,,,,,,,YES,,,,,,,,,,2006-01-01,2015-01-01,2006-05-31,Bewegung Neue Ordnung,1,1047,1047,801,0,0,12627,1,1,0,2,Both,1,0,1,9348.62,3278.38013
Kameradschaft Westerwald,0,regional,association,2006,182,38600,0,10400,0,0,1047,0,12627,Daaden (Westerwald),Rheinland-Pfalz,50.7391746,7.96766,,,,,,YES (2006),,None,https://www.antifainfoblatt.de/artikel/westerwald-eine-kameradschaft-und-ihr-ende,,neo-Nazi,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,2006-01-01,2007-01-01,2006-03-06,Kameradschaft Westerwald,1,1047,1047,1047,0,0,12627,0,1,0,1,None,0,0,1,9348.62,3278.38013
Schutzbund Deutschland,1,regional,association,2006,182,38600,0,10400,0,0,1047,0,12627,Guben,Brandenburg,51.9503235,14.7153567,,,,,,,,Both,,a wing of BNO,neo-Nazi,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,2006-01-01,2007-01-01,2006-12-01,Schutzbund Deutschland,1,1047,1047,1047,0,0,12627,1,1,0,1,Both,1,0,1,9348.62,3278.38013
Bürgerbewegung pro Köln e.V.,0,regional,party,2007,180,31000,0,10000,-400,0,980,0,11935,Köln,Nordrhein-Westfalen,50.938361,6.959974,,,,,,,,Members,https://de.wikipedia.org/wiki/B%C3%BCrgerbewegung_pro_K%C3%B6ln,founded 1996; Manfred Rouhs was active in it (also in banned KAL),Rechtsextremistische Partei,,,,,,,,,,,,,,,,,,YES,,,,,YES,,,YES,YES,,,,,,,2007-01-01,2017-01-01,,Bürgerbewegung pro Köln,0,980,980,1600,-400,0,11935,0.25,0,1,4,Members,0.25,0,1,9718.672,2216.3279
Sturm 34,1,regional,association,2007,180,31000,0,10000,-400,0,980,0,11935,Mittweida,Sachsen,50.9854597,12.9810458,,,YES (VfS 2006: 65) (VfS2007: 56),,,YES (2006),,None,https://de.wikipedia.org/wiki/Sturm_34,,Gewaltbereite,,,,,,,,,,,,,,,,,YES,YES,YES,,,,,,,,,,,,,,,2006-01-01,2008-01-01,2007-04-26,Sturm 34,1,980,1047,980,-400,0,11935,0,1,0,3,None,0,0,1,9718.672,2216.3279
Sache des Volkes (SdV),0,international,association,2008,156,30000,0,9500,-500,0,1042,2,14262,München,Bayern,48.1371079,11.5753822,,,,,,,1,None,https://www.apabiz.de/archiv/material/Profile/SDV-NRAO.htm,"network of Germany, Switzerland, Austria; referenced only as an online page in 2014 report",Rechtsextremistische Intellektualisierung,,,,,,,,,,,,,,,,,,,YES,YES,,,,,YES,,,,,,,,,2008-01-01,2015-01-01,,Sache des Volkes,0,1042,1042,990,-500,0,14262,0,0,0,3,None,0,0,1,10088.724,4173.27566
Collegium Humanum (CH) together with Bauernhilfe e.V,1,national,association,2008,156,30000,0,9500,-500,0,1042,2,14262,Vlotho,Nordrhein-Westfalen,52.1664861,8.8619172,,,,,,,,Both,https://www.belltower.news/bauernhilfe-e-v-51272/,close to Deutsches Kolleg,Rechtsextremistische Intellektualisierung,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,yes,yes,yes,yes,yes,,,yes,yes,,,,,,2004-01-01,2009-01-01,2008-05-07,Collegium Humanum,1,1042,776,1042,-500,0,14262,1,0,0,5,Both,1,0,1,10088.724,4173.27566
Verein zur Rehabilitierung der wegen Bestreitens des Holocaust Verfolgten (VRBHV),1,national,association,2008,156,30000,0,9500,-500,0,1042,2,14262,Vlotho,Nordrhein-Westfalen,52.1664861,8.8619172,,,,,,,1,Both,https://www.belltower.news/bauernhilfe-e-v-51272/,founded 9 Nov. 2003,Internationale Verbindungen,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,yes,yes,yes,yes,yes,,,yes,yes,,,,,,2003-01-01,2009-01-01,2008-05-07,VRBHV,1,1042,759,1042,-500,0,14262,1,0,0,6,Both,1,0,1,10088.724,4173.27566
Frontbann 24,1,regional,association,2009,195,26600,0,9000,-500,0,891,1,13280,Berlin,Berlin,52.5170365,13.3888599,,,,,,,,Both,https://taz.de/Rechtsextreme-Kameradschaften/!5160056/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-11-05,Frontbann 24,1,891,891,891,-500,1,13280,1,1,0,0,Both,1,0,1,10458.777,2821.22342
Heimattreue Deutsche Jugend - Bund zum Schutz fuer Umwelt Mitwelt und Heimat e.V. (HDJ),1,national,association,2009,195,26600,0,9000,-500,0,891,1,13280,"Kiel, Berlin","Schleswig-Holstein, Berlin",54.3227085,10.135555,350 (2007),,,,,,,Members,https://www.apabiz.de/archiv/material/Profile/HDJ.htm,very well networked (VfS2007: 59),,,,,,,,,,,,,,,,,,,YES,YES,YES,yes,yes,yes,yes,,,,,,,,,,2007-01-01,2010-01-01,2009-03-31,Heimattreue Deutsche Jugend,1,891,980,891,-500,1,13280,0.25,1,0,3,Members,0.25,0,1,10458.777,2821.22342
Mecklenburgische Aktionsfront (M.A.F.),1,regional,association,2009,195,26600,0,9000,-500,0,891,1,13280,Neustrelitz,Mecklenburg-Vorpommern,53.3617163,13.0630004,,,,,,,,None,,"led by David Petereit, Mathias Wirth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-05-28,Mecklenburgische Aktionsfront,1,891,891,891,-500,1,13280,0,1,0,0,None,0,0,1,10458.777,2821.22342
Europäische Aktion (EA),0,national,association,2011,225,22400,0,9800,1500,0,755,0,11401,Verden,"Niedersachsen, Thüringen",52.9759701,9.1808391,100 (2013),,,,,YES (2017),,Leader,,"led by Bernhard Schaub, former leader of VRBHV (banned in 2008); German leader, Rigolf Hennig; surprisingly dissolved itself on 10 June 2017, two weeks before police raids in Thüringen and Niedersachsen",Geschichtsrevisionismus; neo-Nazi (2015),,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,,,,,,2011-01-01,2018-01-01,2017-11-22,Europäische Aktion,1,755,755,1054,1500,0,11401,0.75,1,0,7,Leader,0.75,0,1,11198.881,202.11895
Städte gegen Islamisierung,0,national,association,2011,225,22400,0,9800,1500,0,755,0,11401,Berlin,Berlin,52.5170365,13.3888599,,,,,,,1,None,,"founded 2008, Patrik Brinkmann, Filip Dewinter",Internationale Verbindungen,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,2011-01-01,2012-01-01,,Städte gegen Islamisierung,0,755,755,755,1500,0,11401,0,0,0,1,None,0,0,1,11198.881,202.11895
Freie Kräfte Teltow-Fläming,1,regional,association,2011,225,22400,0,9800,1500,0,755,0,11401,Teltow-Fläming,Brandenburg,52.0994194,13.265844,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-04-11,Freie Kräfte Teltow-Fläming,1,755,755,755,1500,0,11401,0,1,0,0,None,0,0,1,11198.881,202.11895
Hilfsorganisation für nationale politische Gefangene und deren Angehörige e.V. (HNG),1,national,association,2011,225,22400,0,9800,1500,0,755,0,11401,Frankfurt,Hessen,50.1106444,8.6820917,"600 (2001), 550 (2000), 500 (1999), 450 (1998), 400 (1997), 350 (1996), 300 (1995), 340 (1994), 220 (1993), 200 (1992), 200 (1990)",,"YES: (VfS1994, p95)",,,,,Leader,https://www.apabiz.de/archiv/material/Profile/HNG.htm,led by Ursula Müller,neo-Nazi,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,yes,yes,,,,,,,,,,1990-01-01,2012-01-01,2011-09-21,HNG,1,755,891,755,1500,0,11401,0.75,1,0,20,Leader,0.75,0,1,11198.881,202.11895
Aktionsbündnis gegen das Vergessen (AgdV),0,regional,association,2012,,22150,0,9600,-200,0,802,0,12219,Dresden,Sachsen,51.0493286,13.7381437,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,2012-01-01,2013-01-01,,Aktionsbündnis gegen das Vergessen,0,802,802,802,-200,0,12219,0,0,0,1,None,0,0,0,11568.933,650.06672
Aktionsbüro Mittelrhein (AB Mittelrhein),0,regional,association,2012,,22150,0,9600,-200,0,802,0,12219,Bad Neuenahr-Ahrweiler,Rheinland-Pfalz,50.5444551,7.1186671,,,"YES: (VfS2012, p75)","Bildung und Mitgliedschaft in einer kriminellen Vereinigung, gefährlicher Körper­ verletzung, schweren Landfriedensbruchs",,YES (2012),,Members,https://de.wikipedia.org/wiki/Aktionsb%C3%BCro_Mittelrhein,,neo-Nazi,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,YES,,,,,,2012-01-01,2013-01-01,2012-08-15,Aktionsbüro Mittelrhein,1,802,802,802,-200,0,12219,0.25,1,0,3,Members,0.25,0,0,11568.933,650.06672
Bürgerbewegung pro NRW,0,regional,party,2012,,22150,0,9600,-200,0,802,0,12219,Düsseldorf,Nordrhein-Westfalen,51.2254018,6.7763137,"400 (2017), 500 (2015), 950 (2014), 1000 (2012)",YES,,,,,,Members,,"founded in 2007, led by Markus Beisicht",Partei,,,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,yes,,,,2012-01-01,2019-01-01,,Bürgerbewegung pro NRW,0,802,802,1088,-200,0,12219,0.25,0,1,7,Members,0.25,0,0,11568.933,650.06672
Die Rechte,0,national,party,2012,,22150,0,9600,-200,0,802,0,12219,Parchim,Mecklenburg-Vorpommern,53.4258455,11.8475244,"450 (2022), 500 (2021), 550 (2019), 600 (2018), 650 (2017), 700 (2016), 650 (2015), 500 (2013), 150 (2012)",YES,,,,YES (2012),1,Both,,"led by Christian Worch, leader of plenty of previously banned groups; many members from groups banned in 2012; founded in 2012",Partei; neo-Nazi,,,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2012-01-01,2023-01-01,,Die Rechte,0,802,802,1016,-200,0,12219,1,1,1,11,Both,1,0,0,11568.933,650.06672
Honour & Pride,0,national,association,2012,,22150,0,9600,-200,0,802,0,12219,Schwanebeck­Nienhagen,Sachsen-Anhalt,51.9686422,11.1216923,,,,,,,,Members,https://www.endstation-rechts.de/news/honour-pride-will-wieder-aktiv-werden,led by Oliver Malina,"Gewaltbereite, Skinheads",,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,2012-01-01,2013-01-01,,Honour & Pride,0,802,802,802,-200,0,12219,0.25,1,0,1,Members,0.25,0,0,11568.933,650.06672
Jagdstaffel D.S.T.,0,regional,association,2012,,22150,0,9600,-200,0,802,0,12219,"Geretsried, München",Bayern,47.8646925,11.479351,,,"YES: (VfS2012, p66)",,,,,None,,"Deutsch-Stolz-Treu', led by Dominik Baumann and Stefan Reiche",neo-Nazi,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,2012-01-01,2013-01-01,,Jagdstaffel D.S.T.,0,802,802,802,-200,0,12219,0,1,0,1,None,0,0,0,11568.933,650.06672
Besseres Hannover,1,regional,association,2012,,22150,0,9600,-200,0,802,0,12219,Hannover,Niedersachsen,52.3744779,9.7385532,,,,,,,,None,,monitored in Niedersachsen since late 2008,neo-Nazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-25,Besseres Hannover,1,802,802,802,-200,0,12219,0,1,0,0,None,0,0,0,11568.933,650.06672
Kameradschaft Aachener Land,1,regional,association,2012,,22150,0,9600,-200,0,802,0,12219,Aachen,Nordrhein-Westfalen,50.776351,6.083862,,,"YES: (VfS2010, p58)",,,,,Members,https://de.wikipedia.org/wiki/Widerstand_West // https://www.demokratie-leben-aachen.de/de/aktuelles/detail/KAL3,"mentioned in connection to 1. May demos in Berlin; showed coded support for NSU (VfS2011, 63); led by Rene Laube and Manfred Rouhe",Gewaltbereite,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,,,,,,,,,,,2010-01-01,2013-01-01,2012-08-23,Kameradschaft Aachener Land,1,802,762,802,-200,0,12219,0.25,1,0,3,Members,0.25,0,0,11568.933,650.06672
Kameradschaft Hamm,1,regional,association,2012,,22150,0,9600,-200,0,802,0,12219,Hamm,Nordrhein-Westfalen,51.6804093,7.815197,,,,,,,,None,,Sascha Krolzig,neo-Nazi,,,,,,,,,,,,,,,YES,,,,,,,,YES,yes,,,,,,,,,,2004-01-01,2013-01-01,2012-08-23,Kameradschaft Hamm,1,802,776,802,-200,0,12219,0,1,0,2,None,0,0,0,11568.933,650.06672
Kameradschaft Walter Spangenberg,1,regional,association,2012,,22150,0,9600,-200,0,802,0,12219,Köln,Nordrhein-Westfalen,50.938361,6.959974,,,,,,,,None,,led by Axel Reitz,neo-Nazi,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,2012-01-01,2013-01-01,2012-05-10,Kameradschaft Walter Spangenberg,1,802,802,802,-200,0,12219,0,1,0,1,None,0,0,0,11568.933,650.06672
Nationaler Widerstand Dortmund,1,regional,association,2012,,22150,0,9600,-200,0,802,0,12219,Dortmund,Nordrhein-Westfalen,51.5142273,7.4652789,,,,,,,,Both,,led by Siegfried Borchardt (SS-Sigi),neo-Nazi,,,,,,,,,,,,,,,,,,,,,,,YES,yes,,,,,,,,,,2012-01-01,2013-01-01,2012-08-23,Nationaler Widerstand Dortmund,1,802,802,802,-200,0,12219,1,1,0,1,Both,1,0,0,11568.933,650.06672
Widerstandsbewegung in Südbrandenburg,1,regional,association,2012,,22150,0,9600,-200,0,802,0,12219,Cottbus,Brandenburg,51.7567447,14.3357307,,,,,,,,Members,,led by Maik Bunzel,neo-Nazi,,,,,,,,,,,,,,,,,,,,,,,YES,yes,,,,,,,,,,2012-01-01,2013-01-01,2012-06-19,Widerstandsbewegung in Südbrandenburg,1,802,802,802,-200,0,12219,0.25,1,0,1,Members,0.25,0,0,11568.933,650.06672
AD Jail Crew,0,regional,association,2013,,21700,0,9600,0,0,801,0,11639,Hünfeld,Hessen,50.65546,9.7764627,,,,,,,,Leader,,Knastkameradschaft'; led by Bernd Tödter (used to be in HNG),Gewaltbereite,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,2013-01-01,2014-01-01,,AD Jail Crew,0,801,801,801,0,0,11639,0.75,1,0,1,Leader,0.75,0,0,11938.986,-299.98552
Bürgerbewegung Marzahn-Hellersdorf,0,regional,association,2013,,21700,0,9600,0,0,801,0,11639,Marzahn-Hellersdorf,Berlin,52.53659058,13.60471344,,,,,,,,Members,https://rechtsaussen.berlin/tag/buergerbewegung-marzahn-hellersdorf/,"influence on immigration debate, led by Marcel Rockel",Gewaltbereite,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,2013-01-01,2014-01-01,,Bürgerbewegung Marzahn-Hellersdorf,0,801,801,801,0,0,11639,0.25,1,0,1,Members,0.25,0,0,11938.986,-299.98552
Der III. Weg,0,national,party,2013,,21700,0,9600,0,0,801,0,11639,Bad Dürkheim,Rheinland-Pfalz,49.4632944,8.1705063,"700 (2022), 650 (2021), 600 (2020), 580 (2019), 530 (2018), 500 (2017), 350 (2016), 300 (2015), 200 (2014)",,"YES: (VfS2022, p56)",Volksverhetzung,,,,Both,,,Partei; neo-Nazi,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2013-01-01,2023-01-01,,Der III. Weg,0,801,801,1016,0,0,11639,1,1,1,10,Both,1,0,0,11938.986,-299.98552
Hamburger Nationalkollektiv,0,regional,association,2013,,21700,0,9600,0,0,801,0,11639,Hamburg,Hamburg,53.550341,10.000654,,,,,,,,Both,https://www.abendblatt.de/hamburg/article108171143/Neue-Gruppe-von-Neonazis-macht-in-Hamburg-mobil.html,,Rechtsterrorismus,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,2013-01-01,2014-01-01,,Hamburger Nationalkollektiv,0,801,801,801,0,0,11639,1,1,0,1,Both,1,0,0,11938.986,-299.98552
Werwolf-Kommando,0,regional,association,2013,,21700,0,9600,0,0,801,0,11639,,"Hamburg, Niedersachsen, Mecklenburg-Vorpommern",53.312914,10.751284,,,"YES: (VfS2013, p77)",,,YES (2013),,None,https://www.spiegel.de/panorama/justiz/razzia-gegen-nazi-organisation-werwolf-zelle-a-911558.html,"led by Sebastien N; Jeroen B, Ueli S, Roberto K also members",Rechtsterrorismus,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,2013-01-01,2014-01-01,2013-07-17,Werwolf-Kommando,1,801,801,801,0,0,11639,0,1,0,1,None,0,0,0,11938.986,-299.98552
Nationale Sozialisten Döbeln,1,regional,association,2013,,21700,0,9600,0,0,801,0,11639,Döbeln,Sachsen,51.1167001,13.1166999,,,,,,,,Both,https://www.spiegel.de/panorama/justiz/sachsen-innenminister-verbietet-nationale-sozialisten-doebeln-a-884056.html,connected to Band 'Inkubation',neo-Nazi,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,2013-01-01,2014-01-01,2013-02-18,Nationale Sozialisten Döbeln,1,801,801,801,0,0,11639,1,1,0,1,Both,1,0,0,11938.986,-299.98552
Hooligans gegen Salafisten (HoGeSa),0,regional,association,2014,,21000,0,10500,900,1,990,0,11055,Köln,Nordrhein-Westfalen,50.938361,6.959974,,,"YES: (VfS2014, p28)",,YES,,,Members,,"founded by Dominik Roeseler, among others",Hooligans/ultras,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,yes,,,,,2014-01-01,2016-01-01,,Hooligans gegen Salafisten,0,990,990,1408,900,0,11055,0.25,1,0,2,Members,0.25,0,0,12309.038,-1254.03776
Autonome Nationalisten Göppingen,1,regional,association,2014,,21000,0,10500,900,1,990,0,11055,Göppingen,Baden-Württemberg,48.7031377,9.6541116,,,,,,YES (2014),,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,2014-01-01,2015-01-01,2014-12-18,Autonome Nationalisten Göppingen,1,990,990,990,900,0,11055,0,1,0,0,None,0,0,0,12309.038,-1254.03776
Freies Netz Süd,1,regional,association,2014,,21000,0,10500,900,1,990,0,11055,München,Bayern,48.1371079,11.5753822,,,"YES: (VfS2013, p74)",,,YES (2013),,Both,https://de.wikipedia.org/wiki/Freies_Netz_S%C3%BCd,supported by NPD,Rechtsextremistische Partei,,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,yes,,,,,,,,,2011-01-01,2015-01-01,2014-07-23,Freies Netz Süd,1,990,990,755,900,0,11055,1,1,0,3,Both,1,0,0,12309.038,-1254.03776
Nationale Sozialisten Chemnitz,1,regional,association,2014,,21000,0,10500,900,1,990,0,11055,Chemnitz,Sachsen,50.8322608,12.9252977,,,,,,,,Both,,"led by Eric Fröhlich, Maik Arnold und Sandra Bendel; members were in Sturm 34; Yves Rahmel owned headquarters; Maik Eminger was member",,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,2014-01-01,2015-01-01,2014-03-28,Nationale Sozialisten Chemnitz,1,990,990,990,900,0,11055,1,1,0,0,Both,1,0,0,12309.038,-1254.03776
Schwarze Schar MC,1,regional,association,2014,,21000,0,10500,900,1,990,0,11055,Wismar,Mecklenburg-Vorpommern,53.8909832,11.4647932,,,,,,,,None,,led by Philip Schlaffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-12-01,Schwarze Schar MC,1,990,990,990,900,0,11055,0,1,0,0,None,0,0,0,12309.038,-1254.03776
Alternative für Deutschland (AfD),0,national,party,2015,,22600,1,11800,1300,1,1408,0,12154,Berlin,Berlin,52.5170365,13.3888599,10200 (2022),YES,,,,,1,Members,,,"Partei, Rechtsextremistische Verdachtsfälle",,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,,YES,YES,YES,,2015-01-01,2022-01-01,,Alternative für Deutschland,0,1408,1408,945,1300,0,12154,0.25,0,1,6,Members,0.25,0,0,12679.09,-525.08999
Bamberger Gruppe,0,regional,association,2015,,22600,1,11800,1300,1,1408,0,12154,Bamberg,Bayern,49.8916044,10.8868478,,,,,,YES (2016),,None,,,Gewaltbereit,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,,,2015-01-01,2017-01-01,2016-07-20,Bamberger Gruppe,1,1408,1408,1600,1300,0,12154,0,1,0,2,None,0,0,0,12679.09,-525.08999
Bärgida,0,regional,association,2015,,22600,1,11800,1300,1,1408,0,12154,Berlin,Berlin,52.5170365,13.3888599,,,,,,,,None,,policeman participated Norman Wollenzien,anti-asyl-agitation,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,,,2015-01-01,2017-01-01,,Bärgida,0,1408,1408,1600,1300,0,12154,0,0,0,2,None,0,0,0,12679.09,-525.08999
BraMM-PEGIDA,0,regional,association,2015,,22600,1,11800,1300,1,1408,0,12154,Brandenburg an der Havel,Brandenburg,52.4108261,12.5497933,,,,,,,,Members,https://inforiot.de/spaziergang-von-bramm-pegida-entpuppt-sich-als-neonaziveranstaltung/,,anti-asyl-agitation,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,2015-01-01,2016-01-01,,BraMM-PEGIDA,0,1408,1408,1408,1300,0,12154,0.25,0,0,1,Members,0.25,0,0,12679.09,-525.08999
